id,parent_id,source,question,answer
1,0,original,name the important categories of food crops.,"cereals, legumes, forage, fruits and vegetables"
2,1,gemini,What are the main types of food crops?,"cereals, legumes, forage, fruits and vegetables"
3,0,original,what happens during biological nitrogen fixation?,convert biologically unavailable atmospheric nitrogen gas (N2) to biologically available ammonium (NH+4)
4,3,gemini,Explain the process of biological nitrogen fixation.,convert biologically unavailable atmospheric nitrogen gas (N2) to biologically available ammonium (NH+4)
5,0,original,Are genetically modified organisms (GMOs) the only organisms with genes?,"No. Living or once living things contain genes, whether they are genetically modified or not. �Gene� is the root word for genetics. Genes are located on chromosomes"
6,0,original,how do ranchers administer antibiotics?,according to the instructions on the label and under the direction of a veterinarian
7,6,gemini,What methods do cattle farmers use to give antibiotics?,according to the instructions on the label and under the direction of a veterinarian
8,0,original,What is threshing?,separate the beans from the pods and other debris
9,0,original,which fish are grown in farms?,"salmon, catfish, rainbow trout, tilapia, and cod are grown in fish farms"
10,0,original,"Could more people be fed if crop land was used for food for human
consumption instead of livestock or livestock feed?",land used f
11,0,original,List the breeds of dairy cattle?,"Holstein, Jersey, Brown Swiss, Ayrshire, Guernsey and Milking Shorthorn"
12,0,original,"What is field curing, and why is it important for bean crops?","the beans are left to dry further in the sun, a process known as field curing"
13,0,original,what farming technique is used to supplement rainfall in areas of low rainfall.,irrigation
14,0,original,how long does the adult live.,up to 14 days.
15,0,original,What are the ideal storage conditions for maize to prevent mold growth and insect infestation?,temperatures between 10-15�C
16,0,original,How can cows make so much milk?,If its calf nurses regularl
17,0,original,What is the best season for beans?,"beans prefer warm weather, plant at least a week after the last spring frost"
18,0,original,when do primary outbreaks occurs?,"occur with relatively inconspicuous, low-density populations that can survive without frequent rainfal"
19,0,original,what is organic farming?,"method of crop production that emphasizes the use of natural and sustainable practices, such as crop rotation, composting, and biological pest control"
20,0,original,"If a farm is large, does that mean it is a corporate farm?","Just because a farm is large in number of acres, does not mean it is a corporate farm"
21,0,original,which key districts produces maize in uganda?,"Masindi, Kapchorwa, Kasese, Jinja, Kabarole and Mbale"
22,0,original,what causes hunger?,poverty
23,0,original,how can Cassava mosaic disease spread,Whitefly infestations
24,0,original,Can eating a genetically modified fruit or vegetable change a person’s genes?,Eating GMO products does not impact our genes.
25,0,original,when are the African armyworms noticed by farmers.,until the caterpillars are ten days old and start exhibiting the gregaria phase.
26,0,original,What is the difference between cloning and genetic modification (GM)?,Genetic modification and cloning are not the same. Cloning provides an exact copy. Cloned genes can only be copied in the same species. Genetic modification (genetic engineering) something scientists do to pick out a specific set of genes and place these genes in an organism where the traits would be helpful
27,0,original,Does organic farming contribute to less pollution?,Yes
28,0,original,what are some of the high risk of work-related hazards that can affect farmers.,"injuries, lung disease, noise-induced hearing loss, skin diseases, as well as certain cancers related to chemical use and prolonged sun exposure"
29,0,original,define what is intercropping.,several crops are grown at the same time
30,0,original,which crop is the crop most often used for silage.,corn
31,0,original,List inputs whose cost would lead farmers to increase prices.,"land, equipment, fertilizer, chemical, seed, buildings and facilities, maintenance, labor, fuel, heating, feed, taxes, insurance"
32,0,original,what is Pastoralism.,"involves managing domesticated animals. In nomadic pastoralism, herds of livestock are moved from place to place in search of pasture, fodder, and water"
33,0,original,name the phase in polyphenism in which the larvae raised in isolation turns green,solitaria
34,0,original,Is buying local and organic the same thing?,No. Local is a definition based on location
35,0,original,Is global hunger caused by a shortage of food?,"Not necessarily. In many cases, hunger is not caused by a shortage of food"
36,0,original,define what GMO is?,"GMOs are crops that have been genetically modified to enhance their resistance to pests and diseases, as well as to improve their nutritional value and other characteristics"
37,0,original,what causes the green coloration in Solitaria larvae,This green coloration is due to both pigmentation and ingested plant material visible in the gut
38,0,original,What is the best time of year to plant soybeans in the Midwest?,between late April and mid-May
39,0,original,name two types fertilizers.,organic and inorganic fertilizers
40,0,original,whats the botanical name of african armyworm,Spodoptera exempta
41,0,original,Which common chemical is used for seed dressing,Phenylmercuric acetate
42,0,original,How is maize  stored after harvesting?,use of hermetic storage bags or containers
43,0,original,which synthetic substances allowed in organic production.,Chlorine and hydrogen peroxide
44,0,original,why is crop rotation important in farming?,"This helps to prevent soil erosion and depletion, and can also help to control pests and diseases"
45,0,original,How can I prevent soil erosion on my farm?,"planting cover crops, using conservation tillage practices, and building contour terraces. It's also important to avoid overgrazing and to maintain vegetation along streams and other waterways to prevent bank erosion."
46,0,original,what does S. exempta larvae feeds on?,Poaceae
47,0,original,Name cultural  techniques for managing crop nutrients use.,crop rotation or a fallow period
48,0,original,What is Consumptive water use?,is the term that describes water used and not returned to the original source.
49,0,original,which kind of GM varieties release protein to control pest.,bacterium Bacillus thuringiensis
50,0,original,why is migration benefical to moths?,it allows the species to travel to a new location with fewer predators and less possibility of parasitism and infection
51,0,original,what are the three phases of  Food Supply Continuum,"pre?harvest, harvest and postharvest"
52,0,original,what are the signs and symptoms of CBB disease?,"The disease causes wilting, yellowing of the leaves, and rotting of the stems and roots"
53,0,original,Which crop is the major source of food in africa?,Cassava
54,0,original,why do crops require regular maintainance after planting,to ensure healthy growth and yield
55,0,original,what  is the role of Center for Disease Control(CDC).,"to prevent �illness, disability and death due to domestic and imported foodborne diseases"
56,0,original,What is the recommended spacing for cassava?,spacing of 1.0 m x 1.0 m (3 ft x 3 ft) is commonly used for cassava planting
57,0,original,How are maize planted?,"the maize seeds are planted either by hand or machine, depending on the scale of the operation"
58,0,original,what median age of farmers in the US,57.5 years
59,0,original,which other way can cover crops increase fertility,Cover crops can also improve soil quality by increasing soil organic matter levels through the input of cover crop biomass over time
60,0,original,how many days does the eggs takes to hatch into larvae.,two to five days
61,0,original,what is hay,"(dried grasses) to feed livestock (horses, cattle, sheep) during the winter when they cannot feed in green pastures"
62,0,original,Organic farms that raise livestock such as dairy cows or chickens feed the animals with?,natural food
63,0,original,name any Environmental issues.,"depletion of aquifers, deforestation, antibiotic resistance"
64,0,original,name the first step in crop cultivation,Land preparation
65,0,original,give examples of micronutrients.,"iron, zinc, and manganese."
66,0,original,in which phase is the armyworms species dangerous to crops.,gregaria
67,0,original,which pesticides causes liver disease?,Copper sulfate
68,0,original,Testing Cassava?,There are various tests that can be done on cassava like testing for viruses.
69,0,original,why is crop rotation important?,help to maintain soil health and improve crop yields over time
70,0,original,Does the United States import more agricultural products than we export?,"Agriculture has a positive trade balance, which means we send out (export) more than we bring in (import)"
71,0,original,What is crop cultivation?,"is the practice of growing crops for food, fiber, or fuel"
72,0,original,name activities done during water management.,"irrigation scheduling, water storage, and distribution systems"
73,0,original,"Are fresh, raw vegetables healthier and more nutritious than frozen
vegetables?",Not necessarily. Research shows that frozen vegetables can even be more nutritious than fresh vegetables!
74,0,original,when do the eggs of armyworms turn black.,prior to hatching
75,0,original,how is threshing done for bean crops?,manually or by using machines such as threshers or combines
76,0,original,which stage of crop cultivation involves placing seeds or seedlings into the soil at the right depth and spacing.,Planting
77,0,original,what is crop rotation in soil management?,a technique used in soil management to reduce soil-borne diseases and pests and improve soil fertility
78,0,original,What is a silo?,"silos are used to store silage, which is animal feed"
79,0,original,what does a hand represents in a horse?,4 inches
80,0,original,what kinds of tools are used in precision agriculture,"sensors, drones, and other tools"
81,0,original,what is harvesting,It involves removing the mature crops from the field and preparing them for storage or transport
82,0,original,How is the height of a horse measured?,A horse�s height is measured in hands from the ground to the withers (the area on top of a horse between its neck and back)
83,0,original,what is Integrated Pest Management?,"IPM is a holistic approach to pest management that emphasizes the use of multiple methods to control pests, including biological control, cultural control, and chemical control"
84,0,original,which farm tool was used by farmers to thresh or beat the dried wheat in order to separate its edible grain seeds from its stalks,flails
85,0,original,List the Animal Care Principles for producers,"access to food and water, health and veterinary care, appropriate environmental and living conditions, implementing science?�based husbandry practices, using proper handling practices and providing comfortable and sanitary transportation to avoid stress"
