Crop,Soil_Type,pH_Optimal,Nitrogen_Optimal_kg_ha,Phosphorus_Optimal_kg_ha,Potassium_Optimal_kg_ha,Temperature_Optimal_C,Water_Requirement_mm,Rainfall_Requirement_mm,Moisture_Optimal_percent,Humidity_Optimal_percent,Expected_Yield_tonnes_ha,Water_Efficiency_Index,Fertilizer_Efficiency_Index
Rice,Clay Loam,6.2,100,35,35,28,1200,1000,70,80,4.5,0.85,0.9
Rice,Clay Loam,6.2,100,35,35,28,1200,1000,70,80,4.5,0.85,0.9
Rice,Clay Loam,6.2,100,35,35,28,1200,1000,70,80,4.5,0.85,0.9
Rice,Clay Loam,6.2,100,35,35,28,1200,1000,70,80,4.5,0.85,0.9
Wheat,Loam,6.8,125,40,40,20,450,400,60,65,3.2,0.92,0.88
Wheat,Loam,6.8,125,40,40,20,450,400,60,65,3.2,0.92,0.88
Wheat,Loam,6.8,125,40,40,20,450,400,60,65,3.2,0.92,0.88
Sugarcane,Clay Loam,6.8,200,60,80,28,1800,1200,75,80,70.0,0.8,0.85
Sugarcane,Clay Loam,6.8,200,60,80,28,1800,1200,75,80,70.0,0.8,0.85
Sugarcane,Clay Loam,6.8,200,60,80,28,1800,1200,75,80,70.0,0.8,0.85
Cotton,Black Cotton,7.0,90,30,35,27,600,600,55,65,1.8,0.88,0.87
Cotton,Black Cotton,7.0,90,30,35,27,600,600,55,65,1.8,0.88,0.87
Cotton,Black Cotton,7.0,90,30,35,27,600,600,55,65,1.8,0.88,0.87
Jute,Clay Loam,6.2,60,25,30,30,1200,1100,80,90,2.5,0.83,0.85
Groundnut,Sandy Loam,6.5,30,60,45,26,500,500,60,70,1.2,0.9,0.92
Groundnut,Sandy Loam,6.5,30,60,45,26,500,500,60,70,1.2,0.9,0.92
Groundnut,Sandy Loam,6.5,30,60,45,26,500,500,60,70,1.2,0.9,0.92
Rapeseed_Mustard,Loam,6.8,80,40,35,18,300,300,55,60,1.1,0.93,0.9
Rapeseed_Mustard,Loam,6.8,80,40,35,18,300,300,55,60,1.1,0.93,0.9
Rapeseed_Mustard,Loam,6.8,80,40,35,18,300,300,55,60,1.1,0.93,0.9
Gram,Clay Loam,7.0,30,60,35,22,350,300,50,60,0.9,0.95,0.94
Gram,Clay Loam,7.0,30,60,35,22,350,300,50,60,0.9,0.95,0.94
Gram,Clay Loam,7.0,30,60,35,22,350,300,50,60,0.9,0.95,0.94
Tur_Arhar,Clay Loam,7.0,35,60,40,25,650,600,60,70,0.8,0.89,0.91
Tur_Arhar,Clay Loam,7.0,35,60,40,25,650,600,60,70,0.8,0.89,0.91
Tur_Arhar,Clay Loam,7.0,35,60,40,25,650,600,60,70,0.8,0.89,0.91
Maize,Loam,6.8,150,60,60,24,500,500,65,70,2.5,0.87,0.86
Maize,Loam,6.8,150,60,60,24,500,500,65,70,2.5,0.87,0.86
Maize,Loam,6.8,150,60,60,24,500,500,65,70,2.5,0.87,0.86
Jowar,Sandy Loam,7.0,100,40,40,30,450,400,55,60,1.0,0.91,0.89
Jowar,Sandy Loam,7.0,100,40,40,30,450,400,55,60,1.0,0.91,0.89
Jowar,Sandy Loam,7.0,100,40,40,30,450,400,55,60,1.0,0.91,0.89
Bajra,Sandy,7.5,75,40,40,30,350,300,50,55,0.8,0.94,0.92
Bajra,Sandy,7.5,75,40,40,30,350,300,50,55,0.8,0.94,0.92
